,location,total_sqft,bath,balcony,price,bedrooms
102,Delhi,2628.65,2,2,320.16,4
104,Mumbai,4143.89,1,0,108.36,2
105,Hyderabad,3529.93,1,1,114.66,3
106,Pune,3014.55,4,1,180.42,4
107,Bangalore,3047.2,4,0,171.94,1
108,Chennai,2918.33,1,3,207.93,1
109,Ahmedabad,904.44,1,1,471.62,2
110,Ahmedabad,3234.71,3,3,171.9,2
111,Ahmedabad,3472.65,1,2,233.86,4
112,Bangalore,4505.13,4,3,284.53,4
113,Bangalore,2062.72,1,1,211.49,2
114,Bangalore,1061.61,1,2,247.97,3
116,Hyderabad,1512.43,2,3,423.18,1
117,Delhi,3454.36,3,3,465.39,2
118,Ahmedabad,1189.68,1,0,442.43,2
119,Chennai,1498.75,1,2,47.32,3
120,Pune,1849.34,4,0,116.59,2
121,Bangalore,2891.16,4,0,46.84,3
122,Mumbai,2503.94,1,3,217.36,1
123,Kolkata,3154.3,2,3,73.87,2
124,Kolkata,2875.61,2,2,365.54,2
125,Hyderabad,2501.79,4,0,112.72,4
126,Hyderabad,1745.49,3,0,274.64,1
127,Ahmedabad,4327.61,2,0,91.17,2
128,Mumbai,2571.63,3,0,495.32,2
129,Ahmedabad,1621.37,4,3,87.89,3
130,Kolkata,2177.47,2,1,305.79,4
131,Mumbai,3095.16,4,2,414.36,1
132,Chennai,2444.09,4,2,412.7,1
133,Chennai,3382.16,4,1,203.97,1
134,Pune,3353.66,4,1,214.14,4
135,Delhi,4766.57,3,2,64.47,3
136,Pune,839.29,3,0,198.03,2
137,Hyderabad,4748.8,4,0,207.9,4
138,Delhi,3662.09,2,1,88.26,2
139,Mumbai,3638.08,3,1,413.74,1
140,Delhi,1486.18,1,3,165.31,1
141,Delhi,2032.13,3,2,262.3,3
142,Pune,1585.21,2,2,460.14,2
143,Hyderabad,435.4,2,3,488.45,1
144,Bangalore,2473.54,4,1,380.22,1
145,Ahmedabad,3205.0,2,3,167.56,1
146,Ahmedabad,4566.75,4,2,85.34,2
147,Hyderabad,4960.36,4,1,237.96,3
148,Bangalore,4901.4,1,0,246.86,2
149,Pune,3455.35,4,1,163.74,1
150,Pune,1177.53,3,1,355.88,3
151,Bangalore,4688.08,4,1,455.41,2
152,Kolkata,1454.86,2,1,404.42,2
153,Ahmedabad,1004.23,4,1,499.81,2
154,Ahmedabad,2269.31,2,1,99.01,1
155,Hyderabad,4921.7,2,0,389.66,1
156,Hyderabad,3740.19,4,1,245.8,1
157,Hyderabad,1412.08,4,2,427.05,2
158,Mumbai,1361.94,3,0,483.04,4
159,Pune,4870.66,1,1,447.64,2
160,Hyderabad,1086.06,2,3,347.65,2
161,Kolkata,712.02,3,1,95.91,1
162,Hyderabad,3023.8,3,2,263.54,1
163,Bangalore,1524.08,1,1,430.79,2
165,Hyderabad,2636.26,4,2,465.23,2
166,Ahmedabad,3070.64,2,1,63.73,1
168,Mumbai,2177.52,4,2,105.86,2
169,Hyderabad,1554.68,4,0,388.77,3
170,Pune,3855.26,2,3,282.13,2
171,Ahmedabad,2196.29,1,0,58.43,3
172,Chennai,1243.97,2,3,224.64,4
176,Mumbai,3625.09,1,2,316.7,2
177,Pune,1760.72,4,2,123.73,3
179,Hyderabad,1914.72,1,3,146.41,4
180,Kolkata,3922.51,2,2,392.43,4
182,Pune,878.31,2,0,293.51,2
183,Chennai,1199.87,1,1,304.91,1
184,Ahmedabad,2220.62,2,2,55.19,2
186,Ahmedabad,4376.02,2,0,313.17,1
187,Pune,3007.11,2,0,166.47,2
188,Delhi,1708.86,2,3,427.92,1
189,Ahmedabad,2985.39,3,3,466.63,1
190,Pune,3234.08,3,3,261.47,4
191,Hyderabad,2630.33,1,0,294.41,4
192,Kolkata,2347.8,3,2,102.81,2
193,Hyderabad,3307.6,2,3,453.9,4
194,Delhi,4517.2,4,3,223.16,1
195,Chennai,3552.99,4,1,187.01,2
196,Hyderabad,2004.37,1,1,322.68,2
197,Kolkata,1893.3,2,0,163.33,1
198,Kolkata,2262.38,4,0,492.17,1
199,Chennai,2650.69,1,2,378.39,1
200,Chennai,1928.86,4,0,192.8,1
201,Kolkata,318.22,4,0,24.07,1
202,Mumbai,3659.93,4,0,494.94,4
203,Chennai,1742.02,1,2,118.03,1
204,Delhi,771.18,1,0,291.56,2
205,Delhi,2223.91,3,3,449.24,3
206,Kolkata,1935.1,3,1,374.75,2
207,Ahmedabad,4208.04,2,0,284.55,1
208,Hyderabad,2276.01,4,3,34.4,1
210,Hyderabad,4978.56,1,3,163.68,2
211,Delhi,849.08,2,2,404.22,1
212,Hyderabad,1544.51,3,3,256.63,1
213,Mumbai,4221.47,3,2,400.08,1
214,Delhi,1020.0,3,2,433.64,3
215,Pune,4183.36,2,1,393.45,2
216,Chennai,4198.93,1,2,397.83,2
217,Kolkata,1179.37,1,2,385.93,1
218,Chennai,2241.28,1,1,450.59,1
219,Bangalore,2665.61,1,2,81.49,2
220,Chennai,4216.1,1,3,281.58,2
221,Ahmedabad,885.21,4,0,164.02,1
222,Delhi,3672.52,1,1,229.23,4
223,Kolkata,2513.42,4,0,39.06,3
224,Pune,2657.0,1,3,192.67,1
226,Hyderabad,3672.11,1,3,233.74,4
228,Kolkata,1240.29,1,3,405.12,1
229,Chennai,3232.61,1,2,173.66,4
230,Delhi,2686.27,1,0,263.55,3
231,Pune,2440.53,4,3,83.44,2
232,Ahmedabad,2948.42,2,1,408.93,1
233,Hyderabad,4796.8,4,1,145.84,3
234,Bangalore,3742.3,1,1,302.25,1
236,Chennai,3624.61,1,3,316.79,2
237,Pune,2011.75,1,1,478.08,4
238,Hyderabad,1417.96,4,2,81.86,3
240,Pune,316.18,1,0,367.99,1
241,Bangalore,935.3,4,0,22.41,3
242,Hyderabad,2239.43,3,0,273.18,2
243,Delhi,2661.55,3,3,39.79,4
246,Pune,1792.31,1,3,271.27,1
247,Bangalore,3262.83,2,1,121.03,3
248,Delhi,3614.41,1,1,192.55,4
249,Delhi,2406.78,1,0,424.12,2
250,Bangalore,491.9,4,3,465.96,1
251,Delhi,2404.41,4,1,138.6,2
252,Bangalore,1618.6,1,3,271.65,1
253,Mumbai,2021.98,1,1,370.27,1
254,Mumbai,1762.65,2,0,497.58,3
255,Bangalore,1503.59,3,2,107.49,1
256,Hyderabad,3230.5,1,2,316.59,1
257,Mumbai,3032.14,2,1,268.83,1
259,Ahmedabad,4446.75,1,1,79.02,1
260,Bangalore,2225.43,3,2,276.84,4
261,Delhi,3446.13,3,0,372.1,3
263,Mumbai,2358.9,4,1,64.05,3
265,Hyderabad,1957.56,3,3,303.75,2
266,Hyderabad,3013.65,2,0,445.14,3
267,Ahmedabad,4945.56,2,3,243.48,3
268,Bangalore,4234.67,3,1,373.31,4
270,Mumbai,1112.74,3,1,220.96,3
271,Hyderabad,2244.9,4,1,204.21,1
272,Bangalore,367.16,2,2,97.3,1
273,Hyderabad,3926.67,3,1,91.2,4
274,Ahmedabad,4605.34,1,2,392.14,4
275,Mumbai,2321.1,2,3,251.7,3
276,Delhi,948.52,1,3,234.06,3
277,Bangalore,4083.27,4,2,185.93,1
278,Ahmedabad,3105.64,2,3,325.68,1
279,Pune,729.32,4,3,60.82,2
280,Pune,4498.01,1,1,141.85,1
281,Pune,3919.55,2,2,49.45,4
282,Chennai,2823.14,4,2,311.75,2
283,Bangalore,1274.09,4,2,433.26,3
284,Bangalore,1384.63,4,1,393.6,3
285,Mumbai,1641.51,1,0,163.76,1
286,Pune,1120.0,2,3,293.77,2
289,Delhi,4016.23,1,3,383.29,2
290,Bangalore,4746.01,2,3,303.84,2
291,Bangalore,4302.36,1,2,456.19,2
292,Bangalore,3475.55,1,3,225.73,2
293,Pune,1563.34,4,2,182.99,1
294,Hyderabad,4058.63,3,1,132.8,1
295,Bangalore,4488.59,2,3,367.86,1
297,Kolkata,2438.31,2,2,403.97,4
298,Mumbai,2883.04,2,0,118.57,2
300,Delhi,4367.39,4,0,100.94,1
301,Delhi,2357.37,2,1,460.23,2
302,Kolkata,891.14,2,1,75.55,2
304,Kolkata,3302.66,2,1,361.78,2
305,Chennai,3656.63,4,1,45.58,1
306,Hyderabad,2786.18,1,2,412.05,1
307,Delhi,3503.76,2,1,456.86,3
308,Hyderabad,2723.22,2,1,279.05,2
309,Chennai,2619.75,4,3,442.78,2
310,Chennai,1533.65,3,3,464.93,4
311,Bangalore,1232.14,1,1,290.08,2
312,Pune,4609.45,4,1,218.36,1
313,Delhi,4069.05,1,3,209.25,2
314,Mumbai,4705.53,4,3,189.09,2
315,Kolkata,2656.55,2,0,184.69,4
316,Mumbai,2492.02,2,3,432.05,3
317,Mumbai,1977.45,1,0,139.16,2
318,Delhi,2043.77,1,0,356.47,4
319,Kolkata,1441.78,3,0,122.63,1
321,Pune,4984.83,1,2,209.79,2
323,Delhi,4759.68,2,1,413.89,2
325,Chennai,4675.92,4,0,474.73,3
326,Delhi,750.79,2,1,456.79,2
327,Hyderabad,4873.13,3,3,235.03,1
328,Mumbai,3487.02,3,3,270.52,3
329,Ahmedabad,789.61,4,2,317.88,2
330,Hyderabad,2347.33,4,3,244.69,1
331,Delhi,4789.44,1,0,75.01,2
332,Ahmedabad,2420.34,1,2,383.04,2
333,Delhi,4580.32,1,3,129.21,3
335,Bangalore,866.81,4,2,252.47,2
336,Kolkata,916.71,4,2,454.06,1
337,Kolkata,1425.56,4,3,71.59,4
338,Pune,2591.78,1,3,330.94,2
339,Chennai,3410.28,3,3,400.67,1
340,Hyderabad,4534.37,1,1,172.4,1
341,Chennai,3201.64,2,0,84.87,1
342,Pune,3295.93,1,3,346.86,2
343,Ahmedabad,4484.82,1,1,462.47,1
344,Delhi,1707.05,1,2,71.4,4
345,Mumbai,1962.68,1,1,238.03,3
346,Bangalore,2362.74,3,2,103.86,3
348,Kolkata,3343.45,1,2,120.67,2
349,Ahmedabad,2832.93,1,3,210.55,1
352,Mumbai,2052.53,2,0,487.51,1
353,Chennai,2713.63,1,3,222.74,2
354,Pune,2378.54,2,1,396.64,4
355,Hyderabad,1884.66,2,1,122.02,4
356,Hyderabad,3839.94,1,2,90.78,2
357,Ahmedabad,4039.05,2,0,475.91,2
358,Pune,1801.08,2,0,459.91,2
359,Mumbai,2572.89,4,3,422.01,3
361,Hyderabad,2998.86,3,0,68.04,1
362,Bangalore,4948.51,1,0,415.04,1
363,Mumbai,2554.87,2,3,146.12,1
364,Hyderabad,2851.83,1,2,163.18,3
365,Mumbai,1886.14,3,2,317.43,1
367,Mumbai,2673.08,4,0,319.88,2
368,Pune,1198.4,3,0,123.6,2
369,Bangalore,2747.81,1,2,338.91,2
371,Hyderabad,1847.39,1,1,174.14,2
372,Delhi,2981.6,1,2,40.82,2
373,Ahmedabad,2707.92,2,0,31.39,1
374,Bangalore,2239.35,1,3,195.01,2
375,Mumbai,2022.02,3,2,468.07,1
376,Chennai,2927.82,2,2,344.05,1
377,Pune,4135.37,2,2,194.14,2
378,Kolkata,2483.88,3,1,104.42,1
379,Delhi,4794.32,2,3,106.71,1
380,Hyderabad,3676.87,2,2,223.51,1
381,Pune,4422.98,3,3,71.96,3
382,Mumbai,2350.47,2,1,448.82,2
383,Mumbai,3136.68,4,1,296.18,2
384,Pune,4539.44,2,0,348.24,2
385,Bangalore,3898.98,4,0,293.6,2
386,Chennai,4687.76,4,0,317.2,1
387,Pune,4185.78,3,1,96.45,1
388,Mumbai,1918.14,4,0,153.18,1
389,Mumbai,3229.68,3,1,162.34,1
390,Pune,1877.41,3,0,443.91,1
391,Pune,4824.36,4,0,495.56,1
392,Chennai,2311.83,3,0,179.99,2
393,Delhi,3031.63,2,3,417.54,1
394,Ahmedabad,4688.86,1,3,49.66,1
395,Delhi,1806.61,1,2,95.41,1
396,Hyderabad,1767.26,1,1,359.35,3
397,Mumbai,4999.85,3,1,320.27,4
398,Mumbai,2881.08,3,2,387.7,2
399,Hyderabad,3980.92,1,2,184.35,4
401,Chennai,2205.57,2,0,47.76,1
403,Hyderabad,4189.11,2,0,431.84,1
404,Delhi,2744.53,4,1,252.09,1
405,Pune,2644.76,2,2,424.05,1
407,Chennai,3398.83,4,0,346.26,3
408,Pune,1461.65,1,1,100.99,4
409,Ahmedabad,1740.04,3,3,33.1,2
410,Hyderabad,3712.88,1,0,478.13,1
411,Ahmedabad,4426.29,2,3,289.45,1
412,Bangalore,2439.83,3,3,393.93,1
414,Kolkata,4304.43,3,3,60.59,4
415,Ahmedabad,4204.24,3,0,465.21,1
416,Kolkata,4667.72,4,1,371.89,1
417,Mumbai,4694.57,4,2,260.39,2
418,Kolkata,1058.37,1,2,499.65,1
420,Hyderabad,1385.1,1,0,260.33,2
421,Bangalore,3173.67,1,3,224.22,2
422,Bangalore,2599.38,2,1,243.64,2
423,Chennai,2324.3,3,0,105.33,2
424,Mumbai,2409.87,4,2,245.27,4
425,Ahmedabad,4017.78,3,0,407.17,1
426,Delhi,4601.21,3,1,294.26,3
427,Hyderabad,3493.04,3,0,453.81,4
429,Chennai,2114.55,4,2,206.25,3
430,Mumbai,2623.71,1,0,255.35,4
431,Bangalore,2717.65,4,0,243.72,3
432,Hyderabad,672.52,4,3,104.46,1
433,Pune,1790.72,2,0,274.18,1
434,Hyderabad,431.78,3,2,104.87,1
435,Bangalore,3182.44,4,3,36.11,2
436,Ahmedabad,4423.27,3,2,86.91,2
437,Delhi,3336.74,4,1,156.2,1
438,Pune,1320.67,3,1,220.43,1
439,Pune,4337.54,1,0,259.37,4
441,Delhi,1488.85,3,3,392.29,3
442,Hyderabad,3593.61,4,2,422.75,3
443,Ahmedabad,1455.28,2,0,98.34,2
444,Pune,1153.85,3,3,192.62,1
445,Chennai,1724.91,3,1,175.69,2
446,Mumbai,1988.72,3,2,276.36,4
447,Pune,2091.31,3,1,116.56,2
448,Ahmedabad,3957.96,3,1,359.36,4
449,Kolkata,1411.07,4,2,278.07,1
450,Hyderabad,2538.45,2,0,339.74,3
451,Ahmedabad,2060.56,3,0,497.95,1
452,Hyderabad,642.37,3,0,307.71,2
454,Kolkata,4366.89,1,3,477.07,1
455,Ahmedabad,3958.9,4,3,139.95,1
456,Bangalore,649.53,4,0,180.81,1
457,Chennai,2972.06,4,1,109.87,3
458,Kolkata,3313.0,3,0,219.33,1
459,Delhi,2730.4,4,2,233.22,1
460,Pune,2380.05,2,2,444.01,1
461,Kolkata,3773.08,4,1,233.51,3
463,Delhi,2881.54,4,3,309.31,2
465,Bangalore,4498.14,4,2,246.87,2
467,Mumbai,1146.23,1,3,129.35,2
468,Mumbai,4199.94,4,0,485.62,1
469,Pune,2694.36,3,3,133.89,1
470,Pune,4688.64,3,0,70.88,1
471,Ahmedabad,1168.46,1,3,17.42,3
472,Ahmedabad,4743.58,4,3,478.61,4
474,Bangalore,2340.72,2,2,68.0,3
475,Delhi,1010.93,4,3,68.65,1
476,Ahmedabad,1437.12,4,2,275.79,1
477,Kolkata,1623.07,4,2,397.16,1
478,Chennai,3506.09,4,2,460.91,4
479,Hyderabad,2066.24,4,2,41.86,1
481,Hyderabad,530.61,2,2,311.32,1
482,Ahmedabad,3258.57,1,3,298.91,2
483,Pune,2964.44,3,2,53.61,2
484,Mumbai,692.09,3,3,304.17,2
485,Hyderabad,4651.47,1,3,483.98,4
486,Delhi,2003.38,1,3,438.87,2
487,Mumbai,2188.94,4,3,366.33,1
488,Mumbai,4325.29,3,0,118.71,4
489,Chennai,2697.3,3,2,431.72,2
490,Mumbai,4328.75,2,3,116.85,1
491,Pune,2302.43,2,3,40.04,4
492,Chennai,3707.08,4,2,241.86,2
493,Mumbai,2099.36,2,1,94.84,1
494,Kolkata,1413.21,1,1,484.03,4
495,Delhi,4590.53,4,3,107.03,2
496,Pune,3721.68,1,2,309.89,4
497,Hyderabad,663.23,3,1,238.98,2
498,Hyderabad,4151.51,3,1,94.16,4
499,Bangalore,3010.5,1,1,245.71,2
500,Mumbai,1742.31,4,2,215.44,1
501,Kolkata,4273.59,3,2,321.72,4
503,Kolkata,1971.3,2,0,98.47,3
504,Kolkata,2170.32,2,0,117.55,2
505,Hyderabad,2079.75,3,2,143.84,4
506,Delhi,4339.91,4,3,84.7,3
507,Ahmedabad,1276.89,1,1,131.01,2
508,Chennai,1976.22,3,0,270.35,2
509,Bangalore,2746.79,2,1,222.41,4
510,Hyderabad,2692.08,3,2,438.29,2
511,Chennai,1961.13,3,0,291.88,4
512,Bangalore,1040.08,2,1,449.95,2
514,Kolkata,2487.95,3,0,40.25,2
515,Mumbai,688.69,3,1,391.54,1
516,Delhi,4740.13,4,1,132.18,4
517,Delhi,2818.76,2,3,192.5,2
518,Bangalore,2643.0,3,1,109.68,1
519,Kolkata,4944.35,1,0,418.23,3
521,Mumbai,3496.16,3,0,145.89,2
522,Hyderabad,1533.49,2,1,167.49,1
523,Ahmedabad,2097.41,2,2,450.13,2
524,Mumbai,3571.37,4,3,282.89,1
525,Delhi,4094.93,2,3,322.3,1
526,Ahmedabad,2599.72,1,0,431.26,3
527,Kolkata,3829.44,3,0,248.49,2
528,Pune,3803.61,4,1,154.27,2
529,Pune,346.84,4,0,125.15,1
530,Mumbai,1977.73,1,3,108.81,1
531,Pune,1481.66,1,2,362.1,4
532,Ahmedabad,1245.01,1,2,72.31,1
533,Bangalore,1091.86,1,2,430.0,1
534,Hyderabad,529.86,4,3,302.73,1
536,Delhi,3811.86,3,3,237.94,4
537,Delhi,2079.88,1,2,383.29,4
538,Delhi,4955.79,2,1,472.38,4
539,Pune,3776.33,1,3,386.93,3
540,Bangalore,4889.33,4,2,278.69,3
541,Kolkata,2849.36,2,1,122.81,2
542,Pune,1518.56,1,3,200.57,1
543,Mumbai,1561.53,1,1,29.77,3
544,Chennai,4390.23,3,0,401.32,4
545,Mumbai,2035.24,1,0,357.0,2
546,Ahmedabad,4304.1,4,2,408.98,1
548,Kolkata,3728.41,3,3,87.77,3
549,Mumbai,1605.92,1,3,418.68,1
550,Delhi,3345.04,1,3,399.92,2
552,Delhi,4070.2,2,1,462.71,1
553,Pune,2166.1,3,3,46.06,1
554,Kolkata,3034.13,1,3,381.54,2
555,Bangalore,677.83,3,2,360.02,1
556,Hyderabad,3772.64,1,1,189.84,3
557,Ahmedabad,1857.63,4,3,412.71,4
559,Delhi,1891.69,1,0,39.37,1
560,Ahmedabad,448.57,4,2,380.69,1
561,Delhi,2802.78,2,2,250.18,1
562,Pune,2140.56,4,0,305.14,3
563,Mumbai,2984.83,1,0,345.06,4
564,Hyderabad,2007.99,1,1,242.7,2
565,Hyderabad,4923.82,1,3,458.0,3
566,Ahmedabad,3060.63,1,1,109.68,3
568,Chennai,2901.7,1,2,73.43,1
569,Mumbai,2647.03,2,0,198.65,1
570,Hyderabad,3746.21,4,3,200.98,1
571,Delhi,2883.64,4,1,156.54,3
572,Mumbai,4877.03,4,0,154.11,3
573,Ahmedabad,879.6,4,3,392.17,1
574,Pune,2655.17,4,1,199.36,4
575,Chennai,3788.19,2,2,51.48,2
576,Chennai,4516.31,2,3,147.19,4
577,Bangalore,2951.44,4,2,378.02,2
580,Delhi,4656.21,4,0,249.51,2
581,Bangalore,4680.31,2,1,420.39,3
583,Bangalore,4458.08,1,0,361.38,4
584,Mumbai,2627.53,2,1,219.17,4
585,Mumbai,2288.12,1,3,476.55,2
586,Delhi,1761.71,4,1,421.06,1
587,Chennai,3293.04,2,1,415.37,2
588,Delhi,1105.26,2,1,375.58,3
589,Kolkata,1225.39,4,0,342.13,2
590,Bangalore,4398.12,2,3,188.69,1
591,Mumbai,947.55,3,1,30.31,3
592,Pune,1755.41,4,1,222.73,3
593,Delhi,3762.5,2,2,435.58,2
594,Mumbai,3395.76,1,1,237.96,1
595,Ahmedabad,3240.52,1,3,241.65,1
596,Chennai,2891.33,3,0,70.64,1
597,Hyderabad,2764.11,2,0,431.31,2
599,Bangalore,3622.22,3,0,53.46,1
600,Mumbai,3089.56,2,2,424.39,3
601,Chennai,3654.36,4,0,390.22,2
602,Mumbai,4676.65,4,0,459.62,3
603,Bangalore,1865.29,3,0,321.5,2
604,Delhi,2000.91,2,3,427.9,4
605,Bangalore,636.57,2,1,462.75,1
606,Bangalore,3311.86,3,1,328.42,1
607,Delhi,2506.24,2,3,31.63,2
609,Ahmedabad,1671.81,2,3,146.54,2
610,Kolkata,687.0,4,0,434.4,1
611,Pune,4525.23,2,3,139.92,2
613,Bangalore,4425.65,1,2,411.6,2
615,Hyderabad,404.25,4,2,427.6,1
616,Hyderabad,3317.68,3,3,451.36,1
618,Bangalore,3024.72,4,0,344.47,4
619,Chennai,3495.6,3,0,157.82,3
620,Pune,3291.52,4,0,338.72,3
621,Bangalore,4968.54,2,3,391.94,4
622,Chennai,2021.87,3,0,66.9,2
624,Delhi,4418.86,3,2,128.48,3
625,Delhi,2766.3,2,3,496.01,1
626,Chennai,4435.72,2,2,498.28,3
627,Chennai,2601.53,4,1,78.11,4
628,Chennai,4016.83,4,3,495.95,2
629,Ahmedabad,701.7,1,0,435.92,2
630,Kolkata,4794.15,4,0,90.59,4
631,Pune,4632.82,2,3,81.4,2
632,Chennai,3713.04,3,1,154.81,2
633,Hyderabad,1415.06,4,3,361.98,4
634,Pune,1772.08,3,2,56.55,4
635,Hyderabad,2437.48,1,0,292.1,1
637,Kolkata,4959.48,1,1,212.26,1
638,Delhi,2500.55,4,2,221.42,3
639,Hyderabad,4588.79,3,1,130.55,2
640,Kolkata,4209.18,1,2,353.91,1
641,Ahmedabad,2534.04,4,0,472.3,1
642,Chennai,1130.12,4,0,53.88,3
643,Hyderabad,4968.38,4,2,405.27,1
644,Kolkata,1403.3,2,2,124.16,3
645,Pune,4816.01,2,3,135.2,2
646,Kolkata,1617.93,3,1,39.84,1
647,Hyderabad,1743.98,3,1,340.13,1
648,Bangalore,1002.06,4,3,411.75,2
649,Ahmedabad,3684.46,1,0,365.85,2
650,Ahmedabad,3727.26,4,2,432.99,1
651,Ahmedabad,2959.68,3,1,203.27,4
653,Delhi,2573.91,1,3,310.8,4
654,Bangalore,1615.87,2,0,381.1,1
655,Bangalore,1034.02,4,0,78.26,2
656,Chennai,4688.82,1,3,261.91,1
657,Hyderabad,4302.31,3,2,381.01,4
658,Mumbai,4012.9,3,0,330.16,2
659,Delhi,3344.11,3,0,44.29,4
660,Delhi,858.79,3,0,410.84,1
662,Ahmedabad,3096.17,1,0,456.34,4
663,Bangalore,2900.83,2,0,133.24,1
664,Delhi,1759.12,3,2,134.47,4
665,Delhi,1862.75,2,1,200.61,3
666,Delhi,1723.9,4,1,367.19,2
667,Kolkata,4121.92,2,2,273.29,2
669,Bangalore,1329.12,2,2,269.54,4
670,Pune,2363.99,1,2,52.32,3
671,Bangalore,3558.61,4,3,487.73,2
672,Chennai,1765.92,4,3,258.86,2
673,Hyderabad,3052.59,4,0,358.25,1
674,Ahmedabad,1301.65,1,0,451.62,2
676,Ahmedabad,3951.91,4,3,87.49,1
677,Delhi,895.37,3,2,88.27,1
678,Bangalore,342.7,1,2,476.27,1
679,Pune,4596.04,1,2,116.6,2
680,Chennai,4964.95,1,3,55.24,3
681,Bangalore,2859.12,4,1,242.85,1
682,Delhi,2422.08,1,3,148.29,2
683,Hyderabad,2727.99,1,2,272.14,1
684,Chennai,2710.63,4,1,457.56,1
685,Kolkata,2235.22,1,0,45.73,2
688,Kolkata,2023.71,1,1,230.45,2
689,Chennai,3671.38,3,2,101.04,1
690,Hyderabad,3388.14,1,0,493.86,2
694,Chennai,1757.95,2,1,434.15,2
695,Pune,2856.0,2,1,395.84,3
696,Hyderabad,1903.44,2,2,465.91,1
698,Mumbai,2462.45,1,2,89.44,4
699,Kolkata,3515.48,3,1,488.6,1
700,Ahmedabad,4207.3,4,1,295.11,3
701,Hyderabad,3064.24,1,3,210.14,2
702,Chennai,1200.38,4,1,204.52,3
703,Hyderabad,4798.2,1,1,283.66,2
