area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot Area,Under Construction,Kolkata,4 BHK,Dream Homes,1140.4,4,2,294.88
Plot Area,Ready To Move,Ahmedabad,2 RK,Skyline View,1742.59,3,3,265.03
Built-up Area,Under Construction,Mumbai,2 BHK,Palm Meadows,3927.82,4,0,256.24
Carpet Area,Under Construction,Kolkata,1 RK,Skyline View,348.03,4,3,247.34
Super built-up Area,Under Construction,Pune,1 BHK,Oceanic Towers,4287.69,1,3,85.64
Super built-up Area,Ready To Move,Mumbai,4 BHK,Green Heights,4969.0,1,3,301.55
Super built-up Area,Ready To Move,Ahmedabad,1 BHK,Dream Homes,2641.52,4,1,420.82
Super built-up Area,Under Construction,Delhi,4 BHK,Luxury Enclave,564.81,4,0,65.51
Super built-up Area,Immediate Possession,Hyderabad,1 RK,Palm Meadows,679.72,4,0,164.1
Super built-up Area,Immediate Possession,Mumbai,4 BHK,Dream Homes,346.91,2,1,272.8
Built-up Area,Ready To Move,Chennai,3 BHK,Palm Meadows,319.96,4,3,204.78
Super built-up Area,Ready To Move,Ahmedabad,4 BHK,Green Heights,3424.3,2,0,151.84
Super built-up Area,Immediate Possession,Chennai,3 BHK,Dream Homes,4560.75,2,2,492.68
Plot Area,Under Construction,Pune,1 RK,Dream Homes,2726.46,4,1,245.83
Plot Area,Ready To Move,Kolkata,2 BHK,Luxury Enclave,4178.41,2,3,243.06
Carpet Area,Immediate Possession,Pune,1 RK,Sunrise Residency,1929.51,3,1,122.75
Carpet Area,Under Construction,Kolkata,2 BHK,Luxury Enclave,3590.11,4,3,337.52
Carpet Area,Immediate Possession,Chennai,1 RK,Green Heights,4302.32,3,0,359.6
Plot Area,Immediate Possession,Kolkata,1 BHK,Green Heights,4558.08,3,0,67.67
Carpet Area,Immediate Possession,Pune,2 RK,Oceanic Towers,4241.7,1,1,126.6
Super built-up Area,Under Construction,Delhi,2 BHK,Luxury Enclave,884.64,3,3,106.44
Plot Area,Under Construction,Kolkata,4 BHK,Green Heights,2451.78,1,0,323.57
Plot Area,Immediate Possession,Delhi,4 BHK,Green Heights,2378.87,2,1,393.67
Built-up Area,Under Construction,Delhi,1 RK,Dream Homes,1525.28,1,2,417.27
Super built-up Area,Ready To Move,Chennai,1 RK,Luxury Enclave,2736.15,3,0,80.5
Plot Area,Under Construction,Bangalore,4 BHK,Sunrise Residency,3144.44,4,1,49.67
Super built-up Area,Immediate Possession,Delhi,4 BHK,Skyline View,2628.65,2,2,320.16
Carpet Area,Immediate Possession,Bangalore,2 BHK,Sunrise Residency,366.73,4,0,61.18
Built-up Area,Under Construction,Mumbai,2 BHK,Dream Homes,4143.89,1,0,108.36
Carpet Area,Ready To Move,Hyderabad,3 BHK,Skyline View,3529.93,1,1,114.66
Plot Area,Ready To Move,Pune,4 BHK,Palm Meadows,3014.55,4,1,180.42
Built-up Area,Under Construction,Bangalore,1 BHK,Oceanic Towers,3047.2,4,0,171.94
Built-up Area,Ready To Move,Chennai,1 RK,Dream Homes,2918.33,1,3,207.93
Super built-up Area,Ready To Move,Ahmedabad,2 RK,Sunrise Residency,904.44,1,1,471.62
Built-up Area,Ready To Move,Ahmedabad,2 RK,Luxury Enclave,3234.71,3,3,171.9
Carpet Area,Ready To Move,Ahmedabad,4 BHK,Luxury Enclave,3472.65,1,2,233.86
Super built-up Area,Ready To Move,Bangalore,4 BHK,Green Heights,4505.13,4,3,284.53
Built-up Area,Ready To Move,Bangalore,2 BHK,Dream Homes,2062.72,1,1,211.49
Built-up Area,Immediate Possession,Bangalore,3 BHK,Luxury Enclave,1061.61,1,2,247.97
Super built-up Area,Immediate Possession,Hyderabad,3 BHK,Skyline View,660.68,4,2,65.3
Carpet Area,Immediate Possession,Hyderabad,1 BHK,Green Heights,1512.43,2,3,423.18
Plot Area,Immediate Possession,Delhi,2 BHK,Dream Homes,3454.36,3,3,465.39
Super built-up Area,Ready To Move,Ahmedabad,2 BHK,Oceanic Towers,1189.68,1,0,442.43
Plot Area,Under Construction,Chennai,3 BHK,Dream Homes,1498.75,1,2,47.32
Super built-up Area,Ready To Move,Pune,2 RK,Oceanic Towers,1849.34,4,0,116.59
Carpet Area,Ready To Move,Bangalore,3 BHK,Dream Homes,2891.16,4,0,46.84
Super built-up Area,Under Construction,Mumbai,1 BHK,Dream Homes,2503.94,1,3,217.36
Carpet Area,Ready To Move,Kolkata,2 BHK,Skyline View,3154.3,2,3,73.87
Carpet Area,Immediate Possession,Kolkata,2 RK,Sunrise Residency,2875.61,2,2,365.54
Built-up Area,Immediate Possession,Hyderabad,4 BHK,Skyline View,2501.79,4,0,112.72
Super built-up Area,Immediate Possession,Hyderabad,1 BHK,Palm Meadows,1745.49,3,0,274.64
Carpet Area,Immediate Possession,Ahmedabad,2 RK,Dream Homes,4327.61,2,0,91.17
Plot Area,Ready To Move,Mumbai,2 BHK,Green Heights,2571.63,3,0,495.32
Super built-up Area,Under Construction,Ahmedabad,3 BHK,Oceanic Towers,1621.37,4,3,87.89
Super built-up Area,Ready To Move,Kolkata,4 BHK,Green Heights,2177.47,2,1,305.79
Carpet Area,Ready To Move,Mumbai,1 BHK,Sunrise Residency,3095.16,4,2,414.36
Super built-up Area,Ready To Move,Chennai,1 RK,Green Heights,2444.09,4,2,412.7
Carpet Area,Ready To Move,Chennai,1 RK,Luxury Enclave,3382.16,4,1,203.97
Plot Area,Immediate Possession,Pune,4 BHK,Luxury Enclave,3353.66,4,1,214.14
Carpet Area,Immediate Possession,Delhi,3 BHK,Palm Meadows,4766.57,3,2,64.47
Built-up Area,Under Construction,Pune,2 RK,Oceanic Towers,839.29,3,0,198.03
Super built-up Area,Under Construction,Hyderabad,4 BHK,Skyline View,4748.8,4,0,207.9
Plot Area,Immediate Possession,Delhi,2 BHK,Sunrise Residency,3662.09,2,1,88.26
Super built-up Area,Immediate Possession,Mumbai,1 RK,Skyline View,3638.08,3,1,413.74
Super built-up Area,Immediate Possession,Delhi,1 RK,Dream Homes,1486.18,1,3,165.31
Super built-up Area,Immediate Possession,Delhi,3 BHK,Dream Homes,2032.13,3,2,262.3
Plot Area,Under Construction,Pune,2 BHK,Dream Homes,1585.21,2,2,460.14
Plot Area,Ready To Move,Hyderabad,1 BHK,Green Heights,435.4,2,3,488.45
Carpet Area,Under Construction,Bangalore,1 RK,Luxury Enclave,2473.54,4,1,380.22
Built-up Area,Ready To Move,Ahmedabad,1 BHK,Skyline View,3205.0,2,3,167.56
Carpet Area,Ready To Move,Ahmedabad,2 BHK,Sunrise Residency,4566.75,4,2,85.34
Super built-up Area,Under Construction,Hyderabad,3 BHK,Palm Meadows,4960.36,4,1,237.96
Super built-up Area,Under Construction,Bangalore,2 RK,Dream Homes,4901.4,1,0,246.86
Carpet Area,Ready To Move,Pune,1 BHK,Green Heights,3455.35,4,1,163.74
Carpet Area,Ready To Move,Pune,3 BHK,Skyline View,1177.53,3,1,355.88
Built-up Area,Immediate Possession,Bangalore,2 BHK,Dream Homes,4688.08,4,1,455.41
Super built-up Area,Ready To Move,Kolkata,2 RK,Green Heights,1454.86,2,1,404.42
Carpet Area,Ready To Move,Ahmedabad,2 BHK,Skyline View,1004.23,4,1,499.81
Plot Area,Immediate Possession,Ahmedabad,1 BHK,Skyline View,2269.31,2,1,99.01
Super built-up Area,Immediate Possession,Hyderabad,1 RK,Luxury Enclave,4921.7,2,0,389.66
Plot Area,Immediate Possession,Hyderabad,1 RK,Skyline View,3740.19,4,1,245.8
Built-up Area,Immediate Possession,Hyderabad,2 RK,Luxury Enclave,1412.08,4,2,427.05
Built-up Area,Under Construction,Mumbai,4 BHK,Dream Homes,1361.94,3,0,483.04
Super built-up Area,Ready To Move,Pune,2 RK,Oceanic Towers,4870.66,1,1,447.64
Built-up Area,Ready To Move,Hyderabad,2 BHK,Dream Homes,1086.06,2,3,347.65
Super built-up Area,Immediate Possession,Kolkata,1 RK,Green Heights,712.02,3,1,95.91
Plot Area,Ready To Move,Hyderabad,1 BHK,Green Heights,3023.8,3,2,263.54
Plot Area,Ready To Move,Bangalore,2 RK,Oceanic Towers,1524.08,1,1,430.79
Plot Area,Immediate Possession,Kolkata,4 BHK,Luxury Enclave,804.2,4,2,459.1
Built-up Area,Under Construction,Hyderabad,2 BHK,Oceanic Towers,2636.26,4,2,465.23
Carpet Area,Immediate Possession,Ahmedabad,1 RK,Palm Meadows,3070.64,2,1,63.73
Plot Area,Immediate Possession,Bangalore,3 BHK,Palm Meadows,426.42,1,1,37.18
Carpet Area,Immediate Possession,Mumbai,2 BHK,Luxury Enclave,2177.52,4,2,105.86
Super built-up Area,Ready To Move,Hyderabad,3 BHK,Skyline View,1554.68,4,0,388.77
Plot Area,Ready To Move,Pune,2 RK,Green Heights,3855.26,2,3,282.13
Plot Area,Immediate Possession,Ahmedabad,3 BHK,Luxury Enclave,2196.29,1,0,58.43
Super built-up Area,Under Construction,Chennai,4 BHK,Green Heights,1243.97,2,3,224.64
Plot Area,Immediate Possession,Bangalore,4 BHK,Dream Homes,3376.11,3,0,22.76
Super built-up Area,Immediate Possession,Pune,3 BHK,Palm Meadows,2837.95,3,3,12.81
Carpet Area,Under Construction,Pune,2 BHK,Dream Homes,2346.69,4,2,21.68
Carpet Area,Ready To Move,Mumbai,2 RK,Luxury Enclave,3625.09,1,2,316.7
Carpet Area,Immediate Possession,Pune,3 BHK,Palm Meadows,1760.72,4,2,123.73
Plot Area,Under Construction,Delhi,4 BHK,Oceanic Towers,923.41,2,2,425.19
Super built-up Area,Under Construction,Hyderabad,4 BHK,Green Heights,1914.72,1,3,146.41
Plot Area,Immediate Possession,Kolkata,4 BHK,Palm Meadows,3922.51,2,2,392.43
Super built-up Area,Immediate Possession,Bangalore,3 BHK,Green Heights,4540.3,2,1,43.97
Built-up Area,Immediate Possession,Pune,2 RK,Dream Homes,878.31,2,0,293.51
Plot Area,Ready To Move,Chennai,1 RK,Luxury Enclave,1199.87,1,1,304.91
Carpet Area,Immediate Possession,Ahmedabad,2 BHK,Green Heights,2220.62,2,2,55.19
Super built-up Area,Immediate Possession,Chennai,4 BHK,Green Heights,331.15,2,1,234.96
Carpet Area,Under Construction,Ahmedabad,1 BHK,Sunrise Residency,4376.02,2,0,313.17
Built-up Area,Under Construction,Pune,2 RK,Skyline View,3007.11,2,0,166.47
Carpet Area,Under Construction,Delhi,1 BHK,Luxury Enclave,1708.86,2,3,427.92
Super built-up Area,Under Construction,Ahmedabad,1 BHK,Sunrise Residency,2985.39,3,3,466.63
Carpet Area,Ready To Move,Pune,4 BHK,Oceanic Towers,3234.08,3,3,261.47
Super built-up Area,Under Construction,Hyderabad,4 BHK,Sunrise Residency,2630.33,1,0,294.41
Carpet Area,Under Construction,Kolkata,2 RK,Palm Meadows,2347.8,3,2,102.81
Super built-up Area,Immediate Possession,Hyderabad,4 BHK,Sunrise Residency,3307.6,2,3,453.9
Built-up Area,Under Construction,Delhi,1 RK,Sunrise Residency,4517.2,4,3,223.16
Carpet Area,Immediate Possession,Chennai,2 BHK,Luxury Enclave,3552.99,4,1,187.01
Built-up Area,Under Construction,Hyderabad,2 BHK,Dream Homes,2004.37,1,1,322.68
Plot Area,Immediate Possession,Kolkata,1 BHK,Oceanic Towers,1893.3,2,0,163.33
Super built-up Area,Ready To Move,Kolkata,1 RK,Dream Homes,2262.38,4,0,492.17
Built-up Area,Under Construction,Chennai,1 BHK,Sunrise Residency,2650.69,1,2,378.39
Plot Area,Ready To Move,Chennai,1 RK,Skyline View,1928.86,4,0,192.8
Built-up Area,Under Construction,Kolkata,1 BHK,Palm Meadows,318.22,4,0,24.07
Plot Area,Immediate Possession,Mumbai,4 BHK,Skyline View,3659.93,4,0,494.94
Built-up Area,Under Construction,Chennai,1 BHK,Oceanic Towers,1742.02,1,2,118.03
Super built-up Area,Ready To Move,Delhi,2 RK,Oceanic Towers,771.18,1,0,291.56
Super built-up Area,Under Construction,Delhi,3 BHK,Skyline View,2223.91,3,3,449.24
Super built-up Area,Immediate Possession,Kolkata,2 RK,Luxury Enclave,1935.1,3,1,374.75
Plot Area,Ready To Move,Ahmedabad,1 RK,Oceanic Towers,4208.04,2,0,284.55
Super built-up Area,Immediate Possession,Hyderabad,1 BHK,Palm Meadows,2276.01,4,3,34.4
Plot Area,Immediate Possession,Kolkata,3 BHK,Oceanic Towers,4023.69,2,1,13.29
Carpet Area,Immediate Possession,Hyderabad,2 BHK,Green Heights,4978.56,1,3,163.68
Carpet Area,Under Construction,Delhi,1 BHK,Luxury Enclave,849.08,2,2,404.22
Super built-up Area,Under Construction,Hyderabad,1 RK,Luxury Enclave,1544.51,3,3,256.63
Super built-up Area,Under Construction,Mumbai,1 BHK,Dream Homes,4221.47,3,2,400.08
Carpet Area,Immediate Possession,Delhi,3 BHK,Sunrise Residency,1020.0,3,2,433.64
Plot Area,Immediate Possession,Pune,2 BHK,Sunrise Residency,4183.36,2,1,393.45
Built-up Area,Immediate Possession,Chennai,2 BHK,Sunrise Residency,4198.93,1,2,397.83
Carpet Area,Under Construction,Kolkata,1 BHK,Skyline View,1179.37,1,2,385.93
Built-up Area,Ready To Move,Chennai,1 BHK,Skyline View,2241.28,1,1,450.59
Plot Area,Under Construction,Bangalore,2 BHK,Oceanic Towers,2665.61,1,2,81.49
Super built-up Area,Ready To Move,Chennai,2 BHK,Palm Meadows,4216.1,1,3,281.58
Built-up Area,Immediate Possession,Ahmedabad,1 BHK,Palm Meadows,885.21,4,0,164.02
Built-up Area,Immediate Possession,Delhi,4 BHK,Oceanic Towers,3672.52,1,1,229.23
Super built-up Area,Ready To Move,Kolkata,3 BHK,Skyline View,2513.42,4,0,39.06
Super built-up Area,Ready To Move,Pune,1 BHK,Luxury Enclave,2657.0,1,3,192.67
Built-up Area,Under Construction,Kolkata,2 RK,Oceanic Towers,420.4,2,0,370.53
Super built-up Area,Immediate Possession,Hyderabad,4 BHK,Palm Meadows,3672.11,1,3,233.74
Super built-up Area,Under Construction,Hyderabad,4 BHK,Oceanic Towers,310.75,1,3,197.46
Built-up Area,Ready To Move,Kolkata,1 RK,Sunrise Residency,1240.29,1,3,405.12
Super built-up Area,Under Construction,Chennai,4 BHK,Luxury Enclave,3232.61,1,2,173.66
Built-up Area,Ready To Move,Delhi,3 BHK,Skyline View,2686.27,1,0,263.55
Built-up Area,Under Construction,Pune,2 BHK,Green Heights,2440.53,4,3,83.44
Built-up Area,Immediate Possession,Ahmedabad,1 RK,Green Heights,2948.42,2,1,408.93
Built-up Area,Immediate Possession,Hyderabad,3 BHK,Dream Homes,4796.8,4,1,145.84
Built-up Area,Under Construction,Bangalore,1 RK,Oceanic Towers,3742.3,1,1,302.25
Built-up Area,Under Construction,Hyderabad,4 BHK,Green Heights,428.06,2,2,458.4
Super built-up Area,Under Construction,Chennai,2 BHK,Palm Meadows,3624.61,1,3,316.79
Built-up Area,Immediate Possession,Pune,4 BHK,Palm Meadows,2011.75,1,1,478.08
Plot Area,Under Construction,Hyderabad,3 BHK,Luxury Enclave,1417.96,4,2,81.86
Carpet Area,Immediate Possession,Pune,4 BHK,Dream Homes,1046.59,3,0,14.02
Super built-up Area,Under Construction,Pune,1 RK,Skyline View,316.18,1,0,367.99
Built-up Area,Immediate Possession,Bangalore,3 BHK,Skyline View,935.3,4,0,22.41
Carpet Area,Ready To Move,Hyderabad,2 RK,Luxury Enclave,2239.43,3,0,273.18
Built-up Area,Ready To Move,Delhi,4 BHK,Palm Meadows,2661.55,3,3,39.79
Carpet Area,Immediate Possession,Kolkata,4 BHK,Skyline View,435.87,3,3,124.87
Plot Area,Immediate Possession,Delhi,2 RK,Sunrise Residency,4507.33,1,3,11.72
Plot Area,Under Construction,Pune,1 RK,Green Heights,1792.31,1,3,271.27
Super built-up Area,Immediate Possession,Bangalore,3 BHK,Sunrise Residency,3262.83,2,1,121.03
Plot Area,Under Construction,Delhi,4 BHK,Dream Homes,3614.41,1,1,192.55
Built-up Area,Under Construction,Delhi,2 RK,Palm Meadows,2406.78,1,0,424.12
Plot Area,Immediate Possession,Bangalore,1 BHK,Sunrise Residency,491.9,4,3,465.96
Built-up Area,Ready To Move,Delhi,2 BHK,Green Heights,2404.41,4,1,138.6
Built-up Area,Ready To Move,Bangalore,1 BHK,Oceanic Towers,1618.6,1,3,271.65
Plot Area,Immediate Possession,Mumbai,1 RK,Oceanic Towers,2021.98,1,1,370.27
Built-up Area,Ready To Move,Mumbai,3 BHK,Palm Meadows,1762.65,2,0,497.58
Built-up Area,Under Construction,Bangalore,1 BHK,Sunrise Residency,1503.59,3,2,107.49
Carpet Area,Ready To Move,Hyderabad,1 RK,Palm Meadows,3230.5,1,2,316.59
Built-up Area,Ready To Move,Mumbai,1 BHK,Oceanic Towers,3032.14,2,1,268.83
Built-up Area,Ready To Move,Bangalore,2 BHK,Palm Meadows,408.4,2,2,315.04
Carpet Area,Under Construction,Ahmedabad,1 RK,Sunrise Residency,4446.75,1,1,79.02
Super built-up Area,Under Construction,Bangalore,4 BHK,Dream Homes,2225.43,3,2,276.84
Super built-up Area,Under Construction,Delhi,3 BHK,Palm Meadows,3446.13,3,0,372.1
Carpet Area,Under Construction,Pune,2 BHK,Palm Meadows,581.6,4,0,397.52
Super built-up Area,Ready To Move,Mumbai,3 BHK,Green Heights,2358.9,4,1,64.05
Plot Area,Under Construction,Kolkata,4 BHK,Dream Homes,628.74,2,1,217.6
Carpet Area,Immediate Possession,Hyderabad,2 RK,Green Heights,1957.56,3,3,303.75
Plot Area,Immediate Possession,Hyderabad,3 BHK,Sunrise Residency,3013.65,2,0,445.14
Plot Area,Ready To Move,Ahmedabad,3 BHK,Green Heights,4945.56,2,3,243.48
Plot Area,Ready To Move,Bangalore,4 BHK,Green Heights,4234.67,3,1,373.31
Plot Area,Under Construction,Bangalore,3 BHK,Palm Meadows,853.82,1,0,89.14
Built-up Area,Under Construction,Mumbai,3 BHK,Green Heights,1112.74,3,1,220.96
Carpet Area,Ready To Move,Hyderabad,1 BHK,Green Heights,2244.9,4,1,204.21
Super built-up Area,Immediate Possession,Bangalore,1 RK,Sunrise Residency,367.16,2,2,97.3
Carpet Area,Ready To Move,Hyderabad,4 BHK,Dream Homes,3926.67,3,1,91.2
Carpet Area,Immediate Possession,Ahmedabad,4 BHK,Skyline View,4605.34,1,2,392.14
Super built-up Area,Ready To Move,Mumbai,3 BHK,Oceanic Towers,2321.1,2,3,251.7
Carpet Area,Under Construction,Delhi,3 BHK,Oceanic Towers,948.52,1,3,234.06
Built-up Area,Under Construction,Bangalore,1 RK,Sunrise Residency,4083.27,4,2,185.93
Plot Area,Ready To Move,Ahmedabad,1 BHK,Dream Homes,3105.64,2,3,325.68
Plot Area,Under Construction,Pune,2 BHK,Dream Homes,729.32,4,3,60.82
Built-up Area,Immediate Possession,Pune,1 RK,Green Heights,4498.01,1,1,141.85
Carpet Area,Under Construction,Pune,4 BHK,Skyline View,3919.55,2,2,49.45
Plot Area,Ready To Move,Chennai,2 RK,Palm Meadows,2823.14,4,2,311.75
Plot Area,Ready To Move,Bangalore,3 BHK,Green Heights,1274.09,4,2,433.26
Super built-up Area,Ready To Move,Bangalore,3 BHK,Skyline View,1384.63,4,1,393.6
Built-up Area,Ready To Move,Mumbai,1 RK,Palm Meadows,1641.51,1,0,163.76
Built-up Area,Immediate Possession,Pune,2 BHK,Luxury Enclave,1120.0,2,3,293.77
Carpet Area,Immediate Possession,Hyderabad,4 BHK,Green Heights,597.6,3,0,297.54
Carpet Area,Immediate Possession,Pune,3 BHK,Dream Homes,321.85,1,2,409.3
Built-up Area,Under Construction,Delhi,2 BHK,Green Heights,4016.23,1,3,383.29
Carpet Area,Ready To Move,Bangalore,2 BHK,Dream Homes,4746.01,2,3,303.84
Carpet Area,Under Construction,Bangalore,2 RK,Skyline View,4302.36,1,2,456.19
Carpet Area,Ready To Move,Bangalore,2 BHK,Green Heights,3475.55,1,3,225.73
Built-up Area,Ready To Move,Pune,1 BHK,Oceanic Towers,1563.34,4,2,182.99
Built-up Area,Immediate Possession,Hyderabad,1 BHK,Sunrise Residency,4058.63,3,1,132.8
Built-up Area,Immediate Possession,Bangalore,1 BHK,Palm Meadows,4488.59,2,3,367.86
Plot Area,Immediate Possession,Delhi,3 BHK,Oceanic Towers,3631.06,1,2,28.85
Super built-up Area,Immediate Possession,Kolkata,4 BHK,Skyline View,2438.31,2,2,403.97
Built-up Area,Immediate Possession,Mumbai,2 RK,Luxury Enclave,2883.04,2,0,118.57
Built-up Area,Immediate Possession,Pune,4 BHK,Skyline View,927.0,2,3,361.91
Carpet Area,Ready To Move,Delhi,1 RK,Luxury Enclave,4367.39,4,0,100.94
Carpet Area,Ready To Move,Delhi,2 BHK,Dream Homes,2357.37,2,1,460.23
